ant_id,project,cve_ids,ghsa_ids,status,patched,patched_at,fix_commits,fixed_versions,release_assessment,enrichment_status,finding_url
ANT-2026-09SNWQBT,libredwg,,,fixed,true,2026-05-16T00:00:00Z,LibreDWG/libredwg@f79f9f6916ae19bc632364b1021a68042503ee2d,0.14 [first],confirmed_versions,complete,https://red.anthropic.com/2026/cvd/findings/ANT-2026-09SNWQBT
ANT-2026-0BETG8WD,poppler,,,fixed,true,2026-05-15T00:00:00Z,,,unresolved,unresolved,https://red.anthropic.com/2026/cvd/findings/ANT-2026-0BETG8WD
ANT-2026-0GNNMNPS,wabt,,,fixed,true,2026-06-18T00:00:00Z,WebAssembly/wabt@f42ead6,,no_release_yet,partial,https://red.anthropic.com/2026/cvd/findings/ANT-2026-0GNNMNPS
ANT-2026-0HC68EK6,libreoffice,CVE-2026-6047,,fixed,true,2026-06-15T00:00:00Z,,,unresolved,unresolved,https://red.anthropic.com/2026/cvd/findings/ANT-2026-0HC68EK6
ANT-2026-0JJXMV3G,supabase/auth,,,fixed,true,2026-06-05T00:00:00Z,,,unresolved,unresolved,https://red.anthropic.com/2026/cvd/findings/ANT-2026-0JJXMV3G
ANT-2026-0JRYQPCF,wolfssl/wolfssl,CVE-2026-5503,GHSA-65xm-pfx9-g5p3,fixed,true,2026-05-07T14:53:14.585939Z,wolfSSL/wolfssl@1823f2e9f;wolfSSL/wolfssl@1823f2e9fcdf0c3a6a41d255033d817d23a5ebb3,5.9.1 [first],confirmed_versions,complete,https://red.anthropic.com/2026/cvd/findings/ANT-2026-0JRYQPCF
ANT-2026-0Y1VS937,ffmpeg/ffmpeg,,,fixed,true,2026-03-16T00:00:00Z,FFmpeg/FFmpeg@39e1969303a0b9ec5fb5f5eb643bf7a5b69c0a89,,commit_only,partial,https://red.anthropic.com/2026/cvd/findings/ANT-2026-0Y1VS937
ANT-2026-110HTZ5M,jsrsasign,,,fixed,true,2026-04-12T12:00:00Z,,,unresolved,unresolved,https://red.anthropic.com/2026/cvd/findings/ANT-2026-110HTZ5M
ANT-2026-125WT6QC,supabase/supabase,,,fixed,true,2026-06-26T00:00:00Z,supabase/supabase@d5fde192d573fe27a9e11122d5e7a2d0d0fd160a,,commit_only,partial,https://red.anthropic.com/2026/cvd/findings/ANT-2026-125WT6QC
ANT-2026-14WRNADB,torvalds/linux,,,fixed,true,2026-03-22T12:00:00Z,torvalds/linux@5258572aa5fd;torvalds/linux@5258572aa5fd5a7ed01b123b28241e0281b6fb9b,,commit_only,partial,https://red.anthropic.com/2026/cvd/findings/ANT-2026-14WRNADB
ANT-2026-19SGCVZZ,alembic,,,fixed,true,2026-05-07T07:00:08.565393Z,alembic/alembic@3f1745ae657b1ce79d39dc7a4bbc03441d2ebcd1,,commit_only,partial,https://red.anthropic.com/2026/cvd/findings/ANT-2026-19SGCVZZ
ANT-2026-1BCAFJCC,torvalds/linux,CVE-2026-31554,,fixed,true,2026-04-12T00:00:00Z,torvalds/linux@19f94b39058681dec64a10ebeb6f23fe7fc3f77a;torvalds/linux@80367ad01d93,Linux@6.12.80 [first];Linux@6.18.21 [first];Linux@6.19.11 [first];Linux@7.0 [first],confirmed_versions,complete,https://red.anthropic.com/2026/cvd/findings/ANT-2026-1BCAFJCC
ANT-2026-1FT5E1XF,lcms,,,fixed,true,2026-06-02T00:00:00Z,,,unresolved,unresolved,https://red.anthropic.com/2026/cvd/findings/ANT-2026-1FT5E1XF
ANT-2026-1MRWDJYC,simd,,,fixed,true,2026-05-04T00:00:00Z,,,unresolved,unresolved,https://red.anthropic.com/2026/cvd/findings/ANT-2026-1MRWDJYC
ANT-2026-1ZNMP148,nss,CVE-2026-6772,GHSA-c2q7-642g-3vwr,fixed,true,2026-04-13T00:00:00Z,,,unresolved,unresolved,https://red.anthropic.com/2026/cvd/findings/ANT-2026-1ZNMP148
